Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
threaded,strong,4,67108864,262144,600.178,17616.5
threaded,strong,4,67108864,262144,659.523,17691.1
threaded,strong,4,67108864,262144,591.429,17679.8
threaded,strong,4,67108864,262144,602.27,17738.6
threaded,strong,4,67108864,262144,718.478,17451.6
threaded,strong,4,67108864,262144,985.43,17888.6
streamed,weak,4,268435456,262144,7.15898,72778.9
streamed,weak,4,268435456,262144,7.19845,72690.5
streamed,weak,4,268435456,262144,7.18414,72698.6
streamed,weak,4,268435456,262144,8.00485,72677.6
streamed,weak,4,268435456,262144,27.8355,72861.4
streamed,weak,4,268435456,262144,29.0954,73262.8
threaded,weak,4,268435456,262144,621.776,70449.8
threaded,weak,4,268435456,262144,627.206,70404
threaded,weak,4,268435456,262144,615.002,70438.7
threaded,weak,4,268435456,262144,624.139,70420.4
threaded,weak,4,268435456,262144,860.923,70686.9
threaded,weak,4,268435456,262144,798.81,70685.7
