Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
streamed,strong,1,1048576,262144,8.69336,2674.72
streamed,strong,1,1048576,262144,8.70914,2674.26
streamed,strong,1,1048576,262144,8.80492,2673.97
streamed,strong,1,1048576,262144,29.2868,2673.54
streamed,strong,1,1048576,262144,9.71805,2687.84
streamed,strong,1,1048576,262144,8.71977,2672.17
streamed,strong,1,1048576,262144,8.65147,2672.63
streamed,strong,1,1048576,262144,8.67615,2674.59
streamed,strong,1,1048576,262144,8.61196,2670.86
streamed,strong,1,1048576,262144,8.52566,2671.76
streamed,strong,1,1048576,262144,8.57141,2673.56
streamed,strong,1,1048576,262144,8.6717,2674.49
streamed,strong,1,1048576,262144,8.7378,2673.34
streamed,strong,1,1048576,262144,8.70583,2736.24
streamed,strong,1,1048576,262144,8.60537,2673.13
streamed,strong,1,1048576,262144,8.75216,2672.3
streamed,strong,1,1048576,262144,29.2385,2675.54
streamed,strong,1,1048576,262144,9.42224,2697.3
streamed,strong,1,1048576,262144,8.4601,2674.12
streamed,strong,1,1048576,262144,8.66049,2673.37
streamed,strong,1,1048576,262144,9.44145,2673.96
streamed,strong,1,1048576,262144,8.76635,2674.14
streamed,strong,1,1048576,262144,8.67016,2673.18
streamed,strong,1,1048576,262144,9.3392,2673.59
streamed,strong,1,1048576,262144,8.71783,2673.28
streamed,strong,1,1048576,262144,8.65908,2677.28
streamed,strong,1,1048576,262144,8.86947,2674.7
streamed,strong,1,1048576,262144,8.46041,2673.17
streamed,strong,1,1048576,262144,9.19973,2672.82
streamed,strong,1,1048576,262144,29.2839,2674.1
streamed,strong,1,1048576,262144,9.30852,2618.15
streamed,strong,1,1048576,262144,8.64587,2670.7
streamed,strong,1,1048576,262144,8.60837,2671.03
streamed,strong,1,1048576,262144,9.48276,2671.53
streamed,strong,1,1048576,262144,8.67191,2672.65
streamed,strong,1,1048576,262144,8.72741,2670.76
streamed,strong,1,1048576,262144,9.25576,2671.78
streamed,strong,1,1048576,262144,8.66755,2668.99
streamed,strong,1,1048576,262144,8.83175,2677.12
streamed,strong,1,1048576,262144,8.73375,2672.02
streamed,strong,1,1048576,262144,8.48637,2672.44
streamed,strong,1,1048576,262144,8.66749,2672.64
streamed,strong,1,1048576,262144,29.1343,2674
streamed,strong,1,1048576,262144,9.3183,2694.96
streamed,strong,1,1048576,262144,8.63965,2678.25
streamed,strong,1,1048576,262144,8.68573,2671.92
streamed,strong,1,1048576,262144,8.76237,2733.67
streamed,strong,1,1048576,262144,8.69103,2687.17
streamed,strong,1,1048576,262144,8.81452,2672.03
streamed,strong,1,1048576,262144,8.46846,2672.35
streamed,strong,1,1048576,262144,8.68333,2674.13
streamed,strong,1,1048576,262144,8.72312,2672.67
streamed,strong,1,1048576,262144,8.7635,2672.47
streamed,strong,1,1048576,262144,8.68913,2735.52
streamed,strong,1,1048576,262144,8.61114,2670.16
streamed,strong,1,1048576,262144,29.498,2670.28
streamed,strong,1,1048576,262144,9.50058,2695.95
streamed,strong,1,1048576,262144,8.55538,2670.72
streamed,strong,1,1048576,262144,8.70666,2672.33
streamed,strong,1,1048576,262144,8.6037,2674.42
streamed,strong,1,1048576,262144,8.65693,2670.99
streamed,strong,1,1048576,262144,8.57884,2608.51
streamed,strong,1,1048576,262144,8.66603,2674.01
streamed,strong,1,1048576,262144,8.7584,2672.51
streamed,strong,1,1048576,262144,8.61307,2674.5
streamed,strong,1,1048576,262144,8.7054,2685.66
streamed,strong,1,1048576,262144,8.70019,2674.23
streamed,strong,1,1048576,262144,8.8486,2673.87
streamed,strong,1,1048576,262144,29.2774,2675.09
streamed,strong,1,1048576,262144,9.05793,2687.72
streamed,strong,1,1048576,262144,8.17572,2671.08
streamed,strong,1,1048576,262144,8.08116,2674.23
streamed,strong,1,1048576,262144,8.05281,2672.2
streamed,strong,1,1048576,262144,8.17931,2673.52
streamed,strong,1,1048576,262144,8.10586,2671.62
streamed,strong,1,1048576,262144,8.03242,2672.34
streamed,strong,1,1048576,262144,8.12965,2675.28
streamed,strong,1,1048576,262144,8.20761,2674.13
streamed,strong,1,1048576,262144,8.15216,2674.39
streamed,strong,1,1048576,262144,8.059,2675.46
streamed,strong,1,1048576,262144,8.11946,2675.24
streamed,strong,1,1048576,262144,28.7818,2676.92
streamed,strong,1,1048576,262144,8.85307,2681.57
streamed,strong,1,1048576,262144,8.16081,2673.23
streamed,strong,1,1048576,262144,8.04682,2609.97
