==47337== NVPROF is profiling process 47337, command: ./MonteCarlo --scaling=weak --method=streamed
==47337== Profiling application: ./MonteCarlo --scaling=weak --method=streamed
==47337== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
13.0712s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04d000000  [Unified Memory CPU page faults]
13.0728s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04d200000  [Unified Memory CPU page faults]
13.0745s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04d400000  [Unified Memory CPU page faults]
13.0761s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04d600000  [Unified Memory CPU page faults]
13.0778s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04d800000  [Unified Memory CPU page faults]
13.0794s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04da00000  [Unified Memory CPU page faults]
13.0811s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04dc00000  [Unified Memory CPU page faults]
13.0827s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04de00000  [Unified Memory CPU page faults]
13.0844s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04e000000  [Unified Memory CPU page faults]
13.0861s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04e200000  [Unified Memory CPU page faults]
13.0877s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04e400000  [Unified Memory CPU page faults]
13.0893s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04e600000  [Unified Memory CPU page faults]
13.0910s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04e800000  [Unified Memory CPU page faults]
13.0926s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04ea00000  [Unified Memory CPU page faults]
13.0943s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04ec00000  [Unified Memory CPU page faults]
13.0959s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04ee00000  [Unified Memory CPU page faults]
13.0975s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04f000000  [Unified Memory CPU page faults]
13.0992s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04f200000  [Unified Memory CPU page faults]
13.1008s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04f400000  [Unified Memory CPU page faults]
13.1025s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04f600000  [Unified Memory CPU page faults]
13.1041s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04f800000  [Unified Memory CPU page faults]
13.1058s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04fa00000  [Unified Memory CPU page faults]
13.1074s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04fc00000  [Unified Memory CPU page faults]
13.1091s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe04fe00000  [Unified Memory CPU page faults]
13.1107s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe050000000  [Unified Memory CPU page faults]
13.1123s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe050200000  [Unified Memory CPU page faults]
13.1139s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe050400000  [Unified Memory CPU page faults]
13.1155s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe050600000  [Unified Memory CPU page faults]
13.1171s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe050800000  [Unified Memory CPU page faults]
13.1188s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe050a00000  [Unified Memory CPU page faults]
13.1205s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe050c00000  [Unified Memory CPU page faults]
13.1221s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe050e00000  [Unified Memory CPU page faults]
13.1238s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe051000000  [Unified Memory CPU page faults]
13.1254s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe051200000  [Unified Memory CPU page faults]
13.1271s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe051400000  [Unified Memory CPU page faults]
13.1287s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe051600000  [Unified Memory CPU page faults]
13.1304s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe051800000  [Unified Memory CPU page faults]
13.1321s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe051a00000  [Unified Memory CPU page faults]
13.1338s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe051c00000  [Unified Memory CPU page faults]
13.1355s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe051e00000  [Unified Memory CPU page faults]
13.1372s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe052000000  [Unified Memory CPU page faults]
13.1388s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe052200000  [Unified Memory CPU page faults]
13.1406s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe052400000  [Unified Memory CPU page faults]
13.1422s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe052600000  [Unified Memory CPU page faults]
13.1439s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe052800000  [Unified Memory CPU page faults]
13.1456s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe052a00000  [Unified Memory CPU page faults]
13.1472s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe052c00000  [Unified Memory CPU page faults]
13.1488s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe052e00000  [Unified Memory CPU page faults]
13.1505s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe053000000  [Unified Memory CPU page faults]
13.1521s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe053200000  [Unified Memory CPU page faults]
13.1538s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe053400000  [Unified Memory CPU page faults]
13.1555s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe053600000  [Unified Memory CPU page faults]
13.1571s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe053800000  [Unified Memory CPU page faults]
13.1588s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe053a00000  [Unified Memory CPU page faults]
13.1604s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe053c00000  [Unified Memory CPU page faults]
13.1621s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe053e00000  [Unified Memory CPU page faults]
13.1637s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe054000000  [Unified Memory CPU page faults]
13.1654s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe054200000  [Unified Memory CPU page faults]
13.1670s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe054400000  [Unified Memory CPU page faults]
13.1687s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe054600000  [Unified Memory CPU page faults]
13.1704s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe054800000  [Unified Memory CPU page faults]
13.1720s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe054a00000  [Unified Memory CPU page faults]
13.1737s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe054c00000  [Unified Memory CPU page faults]
13.1753s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe054e00000  [Unified Memory CPU page faults]
13.1770s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe055000000  [Unified Memory CPU page faults]
13.1787s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe055200000  [Unified Memory CPU page faults]
13.1804s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe055400000  [Unified Memory CPU page faults]
13.1821s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe055600000  [Unified Memory CPU page faults]
13.1838s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe055800000  [Unified Memory CPU page faults]
13.1855s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe055a00000  [Unified Memory CPU page faults]
13.1872s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe055c00000  [Unified Memory CPU page faults]
13.1889s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe055e00000  [Unified Memory CPU page faults]
13.1905s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe056000000  [Unified Memory CPU page faults]
13.1922s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe056200000  [Unified Memory CPU page faults]
13.1939s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe056400000  [Unified Memory CPU page faults]
13.1955s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe056600000  [Unified Memory CPU page faults]
13.1971s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe056800000  [Unified Memory CPU page faults]
13.1988s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe056a00000  [Unified Memory CPU page faults]
13.2005s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe056c00000  [Unified Memory CPU page faults]
13.2021s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe056e00000  [Unified Memory CPU page faults]
13.2038s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe057000000  [Unified Memory CPU page faults]
13.2055s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe057200000  [Unified Memory CPU page faults]
13.2071s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe057400000  [Unified Memory CPU page faults]
13.2088s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe057600000  [Unified Memory CPU page faults]
13.2104s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe057800000  [Unified Memory CPU page faults]
13.2121s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe057a00000  [Unified Memory CPU page faults]
13.2137s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe057c00000  [Unified Memory CPU page faults]
13.2154s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe057e00000  [Unified Memory CPU page faults]
13.2170s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe058000000  [Unified Memory CPU page faults]
13.2187s         -                    -               -         -         -         -                -         -         -         PC 0x6c22b381   0x7fe058200000  [Unified Memory CPU page faults]
