Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
threaded,weak,1,104857,262144,187.002,288.176
threaded,strong,1,104857,262144,187.254,287.648
streamed,weak,1,104857,262144,28.707,270.039
streamed,strong,1,104857,262144,29.3991,290.359
streamed,weak,2,209714,262144,25.2927,123.81
streamed,strong,2,104857,262144,26.1437,63.7588
---
streamed,strong,1,104857,262144,3.77065,121.119
streamed,strong,1,104857,262144,3.43374,110.004
streamed,strong,1,104857,262144,3.34714,103.749
streamed,strong,1,104857,262144,3.32223,103.733
streamed,strong,1,104857,262144,3.32321,103.76
streamed,strong,1,104857,262144,3.33475,103.679
streamed,strong,1,104857,262144,3.31643,103.718
streamed,strong,1,104857,262144,3.35372,103.712
streamed,strong,1,104857,262144,3.34595,103.743
streamed,strong,1,104857,262144,3.32971,103.721
streamed,weak,1,104857,262144,3.31624,103.707
streamed,weak,1,104857,262144,3.31552,104.274
streamed,weak,1,104857,262144,3.31081,103.736
streamed,weak,1,104857,262144,3.3433,103.732
streamed,weak,1,104857,262144,3.36352,103.849
streamed,weak,1,104857,262144,3.33904,103.747
streamed,weak,1,104857,262144,3.3466,103.719
streamed,weak,1,104857,262144,3.33873,103.743
streamed,weak,1,104857,262144,3.34375,103.753
streamed,weak,1,104857,262144,3.32462,103.67
streamed,strong,2,104857,262144,26.0647,64.2939

streamed,strong,2,104857,262144,4.71314,62.0667
streamed,strong,2,104857,262144,4.69905,61.9519
streamed,strong,2,104857,262144,25.9624,63.0362
streamed,strong,2,104857,262144,26.0039,64.2077
streamed,strong,2,104857,262144,4.74527,62.0379
streamed,strong,2,104857,262144,4.29891,58.9669
streamed,strong,2,104857,262144,25.7064,60.6195
streamed,strong,2,104857,262144,26.1573,62.7115
streamed,strong,2,104857,262144,26.0096,62.6261
streamed,strong,2,104857,262144,26.053,62.6299


streamed,strong,2,104857,262144,26.0985,62.6346
streamed,strong,2,104857,262144,4.71258,61.6327
streamed,strong,2,104857,262144,4.718,61.56
streamed,strong,2,104857,262144,25.8849,61.0566
streamed,strong,2,104857,262144,46.3024,62.1445
streamed,strong,2,104857,262144,25.0755,62.1208
streamed,strong,2,104857,262144,26.0115,62.6077
streamed,strong,2,104857,262144,25.2381,61.9376
streamed,strong,2,104857,262144,25.2914,62.3044
streamed,strong,2,104857,262144,25.1592,62.2517
streamed,strong,2,104857,262144,25.3434,62.3047
streamed,strong,2,104857,262144,25.231,61.8296
streamed,strong,2,104857,262144,26.0571,63.5554
streamed,strong,2,104857,262144,26.0531,64.3529
streamed,strong,2,104857,262144,25.9662,62.468
streamed,strong,2,104857,262144,26.127,62.7545
streamed,strong,2,104857,262144,26.2065,62.7089
streamed,strong,2,104857,262144,25.9865,62.6824
streamed,strong,2,104857,262144,26.4719,62.4733
streamed,strong,2,104857,262144,26.0417,64.1823
streamed,strong,2,104857,262144,26.1321,64.1442
streamed,strong,2,104857,262144,26.0139,62.6421
streamed,strong,1,104857,262144,28.7545,290.75
streamed,strong,1,104857,262144,28.8087,289.333
streamed,strong,1,104857,262144,28.1499,267.907
streamed,weak,1,104857,262144,28.4991,275.678
streamed,weak,1,104857,262144,28.182,268.618
streamed,weak,1,104857,262144,28.0216,269.033
threaded,weak,1,104857,262144,183.732,293.321
threaded,weak,1,104857,262144,183.1,273.849
threaded,strong,1,104857,262144,183.264,273.887
threaded,strong,1,104857,262144,185.251,274.152
threaded,strong,1,104857,262144,185.733,298.154
threaded,strong,1,104857,262144,182.957,273.508
streamed,strong,1,104857,262144,28.0974,267.854
streamed,weak,1,104857,262144,28.1288,267.981
streamed,weak,1,104857,262144,28.0757,267.918
threaded,weak,1,104857,262144,183.142,274.18
threaded,weak,1,104857,262144,184.169,274.109
threaded,strong,1,104857,262144,193.485,289.947
threaded,weak,1,104857,262144,186.929,287.877
threaded,weak,1,104857,262144,186.214,289.25
threaded,weak,1,104857,262144,185.856,293.24
threaded,weak,1,104857,262144,185.199,282.682
streamed,weak,1,104857,262144,28.7961,286.974
threaded,weak,1,104857,262144,184.992,294.071
threaded,weak,1,104857,262144,184.39,296.574
threaded,weak,1,104857,262144,188.718,295.991
threaded,weak,1,104857,262144,188.819,292.822
threaded,strong,1,104857,262144,188.376,289.829
threaded,strong,1,104857,262144,188.643,274.468
threaded,strong,1,104857,262144,191.731,299.035
streamed,strong,1,104857,262144,28.513,287.609
streamed,strong,1,104857,262144,27.9864,268.048
threaded,strong,1,104857,262144,188.24,275.103
threaded,strong,1,104857,262144,188.067,275.031
threaded,strong,1,104857,262144,186.238,297.192
threaded,strong,1,104857,262144,190.189,291.911
threaded,strong,1,104857,262144,183.163,275.457
threaded,strong,1,104857,262144,183.62,274.412
threaded,strong,1,104857,262144,188.718,274.732
threaded,strong,1,104857,262144,186.27,288.327
threaded,strong,1,104857,262144,189.818,273.615
threaded,strong,1,104857,262144,186.325,291.677
threaded,strong,1,104857,262144,186.023,274.06
threaded,strong,1,104857,262144,185.502,274.031
threaded,strong,1,104857,262144,189.545,297.596
threaded,strong,1,104857,262144,186.337,289.353
threaded,strong,1,104857,262144,184.129,273.799
threaded,strong,1,104857,262144,186.536,301.62
threaded,strong,1,104857,262144,183.213,273.841
streamed,strong,1,104857,262144,28.6861,267.065
streamed,strong,1,104857,262144,28.4886,267.609
threaded,strong,1,104857,262144,192.318,296.453
streamed,strong,1,104857,262144,29.2178,282.487
threaded,strong,1,104857,262144,186.046,291.584
threaded,strong,1,104857,262144,183.87,286.355
threaded,strong,1,104857,262144,184.232,292.123
threaded,strong,1,104857,262144,188.411,295.705
threaded,strong,1,104857,262144,191.895,294.728
threaded,strong,1,104857,262144,197.593,292.151
streamed,strong,1,104857,262144,29.754,281.537
threaded,strong,1,104857,262144,192.227,298.817
threaded,strong,1,104857,262144,195.816,294.272
streamed,strong,1,104857,262144,29.7798,288.959
threaded,strong,1,104857,262144,185.295,293.192
