Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms

threaded,weak,1,33554432,262144,125.634,85571
threaded,weak,1,33554432,262144,114.271,85748.9
threaded,weak,1,33554432,262144,120.591,85721.6
threaded,weak,1,33554432,262144,120.536,85634.8
threaded,weak,1,33554432,262144,113.1,85620.5
threaded,weak,1,33554432,262144,113.125,85632.2
threaded,weak,1,33554432,262144,118.329,85615.5
threaded,weak,1,33554432,262144,124.1,85610.7
threaded,weak,1,33554432,262144,112.875,85647.1
threaded,weak,1,33554432,262144,118.202,85699.8
threaded,weak,1,33554432,262144,113.281,85710.6
threaded,weak,1,33554432,262144,187.001,85682.3
streamed,weak,1,33554432,262144,8.33456,85682.4
streamed,weak,1,33554432,262144,8.33054,85692.3
streamed,weak,1,33554432,262144,8.39285,85651.2
streamed,weak,1,33554432,262144,8.32462,85685.5
streamed,weak,1,33554432,262144,8.35088,85694
streamed,weak,1,33554432,262144,8.34693,85691.6
streamed,weak,1,33554432,262144,8.33734,85675.4
streamed,weak,1,33554432,262144,8.3266,85687.5
streamed,weak,1,33554432,262144,8.33639,85696.7
streamed,weak,1,33554432,262144,8.37441,85621.1
streamed,weak,1,33554432,262144,8.32287,85683.5
streamed,weak,1,33554432,262144,28.6912,85686.7
threaded,strong,1,33554432,262144,121.085,85701.4
threaded,strong,1,33554432,262144,114.743,85660.3
threaded,strong,1,33554432,262144,113.655,85725.6
threaded,strong,1,33554432,262144,113.581,85681.1
threaded,strong,1,33554432,262144,114.915,85742.3
threaded,strong,1,33554432,262144,113.406,85718
threaded,strong,1,33554432,262144,121.653,85735.2
threaded,strong,1,33554432,262144,114.067,85693.3
threaded,strong,1,33554432,262144,113.323,85725.4
threaded,strong,1,33554432,262144,113.54,85726.7
threaded,strong,1,33554432,262144,113.875,85736.1
threaded,strong,1,33554432,262144,187.345,85714.9
streamed,strong,1,33554432,262144,8.32583,85681
streamed,strong,1,33554432,262144,8.33496,85745.6
streamed,strong,1,33554432,262144,8.29981,85718.9
streamed,strong,1,33554432,262144,8.30873,85692.4
streamed,strong,1,33554432,262144,8.19921,85686.8
streamed,strong,1,33554432,262144,8.30992,85704.4
streamed,strong,1,33554432,262144,8.30243,85714
streamed,strong,1,33554432,262144,8.32633,85711.5
streamed,strong,1,33554432,262144,8.24267,85735.5
streamed,strong,1,33554432,262144,8.32756,85709.3
streamed,strong,1,33554432,262144,8.32372,85721.7
streamed,strong,1,33554432,262144,28.8494,85752.1

streamed,strong,1,33554432,262144,8.37093,85643.9
streamed,strong,1,33554432,262144,8.35796,85830.4
streamed,strong,1,33554432,262144,8.43889,85822
streamed,strong,1,33554432,262144,8.37732,85718.2
streamed,strong,1,33554432,262144,8.37173,85629.6
streamed,strong,1,33554432,262144,8.34633,85754.1
streamed,strong,1,33554432,262144,8.40393,85540.3
threaded,weak,2,67108864,262144,224.811,33183.5
threaded,weak,2,67108864,262144,193.934,33514.6
threaded,weak,2,67108864,262144,184.042,33889
threaded,weak,2,67108864,262144,185.687,34118.6
threaded,weak,2,67108864,262144,196.743,34271.6
threaded,weak,2,67108864,262144,183.668,34299.4
threaded,weak,2,67108864,262144,193.578,34337.6
threaded,weak,2,67108864,262144,188.861,34334.6
threaded,weak,2,67108864,262144,181.832,34364
threaded,weak,2,67108864,262144,185.827,34339.5
threaded,weak,2,67108864,262144,183.301,34330.2
threaded,weak,2,67108864,262144,298.895,34399.1
streamed,weak,2,67108864,262144,4.82824,34759.6
streamed,weak,2,67108864,262144,4.74705,34794.8
streamed,weak,2,67108864,262144,4.71138,34819.8
streamed,weak,2,67108864,262144,4.82519,34784.6
streamed,weak,2,67108864,262144,4.70633,34776
streamed,weak,2,67108864,262144,4.7589,34783.7
streamed,weak,2,67108864,262144,4.78224,34779.2
streamed,weak,2,67108864,262144,4.7989,34758.8
streamed,weak,2,67108864,262144,4.80609,34776.5
streamed,weak,2,67108864,262144,4.79176,34779.3
streamed,weak,2,67108864,262144,4.78777,34794.6
streamed,weak,2,67108864,262144,25.3193,34778.6
threaded,strong,2,33554432,262144,185.407,17218.3
threaded,strong,2,33554432,262144,188.339,17180.4
threaded,strong,2,33554432,262144,185.852,17188.8
threaded,strong,2,33554432,262144,178.438,17189.9
threaded,strong,2,33554432,262144,187.364,17202
threaded,strong,2,33554432,262144,179.059,17155.1
threaded,strong,2,33554432,262144,185.155,17178.7
threaded,strong,2,33554432,262144,176.926,17149.6
threaded,strong,2,33554432,262144,190.053,17176.6
threaded,strong,2,33554432,262144,174.69,17166.4
threaded,strong,2,33554432,262144,194.017,17165.3
threaded,strong,2,33554432,262144,255.208,17153.9
streamed,strong,2,33554432,262144,4.77345,17386.4
streamed,strong,2,33554432,262144,4.39285,17394.6
streamed,strong,2,33554432,262144,4.82851,17409.2
streamed,strong,2,33554432,262144,4.43092,17392.6
streamed,strong,2,33554432,262144,4.68942,17408.8
streamed,strong,2,33554432,262144,4.46795,17388.8
streamed,strong,2,33554432,262144,4.75665,17409
streamed,strong,2,33554432,262144,4.42888,17405.2
streamed,strong,2,33554432,262144,4.78943,17413.7
streamed,strong,2,33554432,262144,4.35403,17386.9
streamed,strong,2,33554432,262144,4.7522,17400.5
streamed,strong,2,33554432,262144,25.0352,17388.8
