==23391== NVPROF is profiling process 23391, command: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter13713586946910336005.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-16-45_503-jvmRun1 sure
==23391== Profiling application: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter13713586946910336005.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-16-45_503-jvmRun1 sure
==23391== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.39726s  5.8388ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        46                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1322]
1.39736s  481.16us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f3772074000  [Unified Memory GPU page faults]
1.39784s  271.40us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f377002e000  [Unified Memory GPU page faults]
1.39812s  46.273us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3772065000  [Unified Memory GPU page faults]
1.39813s  158.63us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3772066000  [Unified Memory GPU page faults]
1.39829s  222.09us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3770088000  [Unified Memory GPU page faults]
1.39830s  259.75us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     6   0x7f3772204000  [Unified Memory GPU page faults]
1.39856s  30.913us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f377224c000  [Unified Memory GPU page faults]
1.39866s  193.00us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3772280000  [Unified Memory GPU page faults]
1.39886s  351.69us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3770100000  [Unified Memory GPU page faults]
1.39944s  86.914us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3772406000  [Unified Memory GPU page faults]
