==121839== NVPROF is profiling process 121839, command: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter7604474690405028029.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-03T13-43-53_572-jvmRun1 suref
==121839== Profiling application: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter7604474690405028029.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-03T13-43-53_572-jvmRun1 suref
==121839== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
7.38332s  2.7203ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        22                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [864]
7.38896s  2.7246ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        23                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [876]
7.39364s         -                    -               -         -         -         -                -         -         -          PC 0x43541c0   0x7f343c000000  [Unified Memory CPU page faults]
7.39401s         -                    -               -         -         -         -                -         -         -          PC 0x43541c0   0x7f3434000000  [Unified Memory CPU page faults]
7.39632s         -                    -               -         -         -         -                -         -         -          PC 0x43541c0   0x7f342c000000  [Unified Memory CPU page faults]
7.39643s         -                    -               -         -         -         -                -         -         -          PC 0x43541c0   0x7f3424000000  [Unified Memory CPU page faults]
7.54348s         -                    -               -         -         -         -                -         -         -         PC 0xdf494c22   0x7f343c010000  [Unified Memory CPU page faults]
7.54361s         -                    -               -         -         -         -                -         -         -         PC 0xdf494c22   0x7f3434010000  [Unified Memory CPU page faults]
7.54432s         -                    -               -         -         -         -                -         -         -         PC 0xdf494c22   0x7f342c010000  [Unified Memory CPU page faults]
7.54446s         -                    -               -         -         -         -                -         -         -         PC 0xdf494c22   0x7f3424010000  [Unified Memory CPU page faults]
