==134014== NVPROF is profiling process 134014, command: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter14936160303446436135.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-03T13-57-34_178-jvmRun1 sure
==134014== Profiling application: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter14936160303446436135.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-03T13-57-34_178-jvmRun1 sure
==134014== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
924.05ms  2.3523ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        22                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [864]
930.31ms  2.3537ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        23                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [876]
937.02ms         -                    -               -         -         -         -                -         -         -         PC 0x41ff31c0   0x7fa8a6000000  [Unified Memory CPU page faults]
937.27ms         -                    -               -         -         -         -                -         -         -         PC 0x41ff31c0   0x7fa8a6200000  [Unified Memory CPU page faults]
937.39ms         -                    -               -         -         -         -                -         -         -         PC 0x41ff31c0   0x7fa8a6400000  [Unified Memory CPU page faults]
937.50ms         -                    -               -         -         -         -                -         -         -         PC 0x41ff31c0   0x7fa8a6600000  [Unified Memory CPU page faults]
1.10126s         -                    -               -         -         -         -                -         -         -         PC 0x1f481fa2   0x7fa8a6010000  [Unified Memory CPU page faults]
1.10135s         -                    -               -         -         -         -                -         -         -         PC 0x1f481fa2   0x7fa8a6210000  [Unified Memory CPU page faults]
1.10142s         -                    -               -         -         -         -                -         -         -         PC 0x1f481fa2   0x7fa8a6410000  [Unified Memory CPU page faults]
1.10149s         -                    -               -         -         -         -                -         -         -         PC 0x1f481fa2   0x7fa8a6610000  [Unified Memory CPU page faults]
1.19583s         -                    -               -         -         -         -                -         -         -         PC 0x28c69d7f   0x7fa8a6020000  [Unified Memory CPU page faults]
1.19604s         -                    -               -         -         -         -                -         -         -         PC 0x28c69d7f   0x7fa8a6220000  [Unified Memory CPU page faults]
1.19618s         -                    -               -         -         -         -                -         -         -         PC 0x28c69d7f   0x7fa8a6420000  [Unified Memory CPU page faults]
1.19630s         -                    -               -         -         -         -                -         -         -         PC 0x28c69d7f   0x7fa8a6620000  [Unified Memory CPU page faults]
1.24282s         -                    -               -         -         -         -                -         -         -         PC 0x28c7bb24   0x7fa8a6040000  [Unified Memory CPU page faults]
1.24432s         -                    -               -         -         -         -                -         -         -         PC 0x28c7bb24   0x7fa8a6240000  [Unified Memory CPU page faults]
1.24511s         -                    -               -         -         -         -                -         -         -         PC 0x28c7bb24   0x7fa8a6440000  [Unified Memory CPU page faults]
1.24530s         -                    -               -         -         -         -                -         -         -         PC 0x28c7bb24   0x7fa8a6640000  [Unified Memory CPU page faults]
1.31186s         -                    -               -         -         -         -                -         -         -         PC 0x28c7bb24   0x7fa8a6080000  [Unified Memory CPU page faults]
1.31219s         -                    -               -         -         -         -                -         -         -         PC 0x28c7bb24   0x7fa8a6280000  [Unified Memory CPU page faults]
