==17963== NVPROF is profiling process 17963, command: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter3956719576834618018.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-13-56_598-jvmRun1 suref
==17963== Profiling application: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter3956719576834618018.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-13-56_598-jvmRun1 suref
==17963== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.38287s  6.2164ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        46                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1322]
1.38299s  491.83us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c6a003000  [Unified Memory GPU page faults]
1.38348s  293.75us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c68004000  [Unified Memory GPU page faults]
1.38383s  179.32us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f3c6a206000  [Unified Memory GPU page faults]
1.38402s  337.17us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c680cf000  [Unified Memory GPU page faults]
1.38436s  49.151us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3c6a044000  [Unified Memory GPU page faults]
1.38440s  137.98us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7f3c6a145000  [Unified Memory GPU page faults]
1.38458s  144.44us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f3c6a30c000  [Unified Memory GPU page faults]
1.38472s  284.22us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c68121000  [Unified Memory GPU page faults]
1.38520s  61.438us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3c6a44c000  [Unified Memory GPU page faults]
1.38526s  81.022us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f3c6a402000  [Unified Memory GPU page faults]
1.38537s  120.29us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f3c6a480000  [Unified Memory GPU page faults]
1.38549s  317.14us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c68216000  [Unified Memory GPU page faults]
1.38550s  7.3569ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        47                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1328]
1.38559s  478.64us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c660c8000  [Unified Memory GPU page faults]
1.38581s  101.82us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c68204000  [Unified Memory GPU page faults]
1.38591s  41.183us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c6a622000  [Unified Memory GPU page faults]
1.38595s  46.206us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c68284000  [Unified Memory GPU page faults]
1.38598s  75.902us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c68280000  [Unified Memory GPU page faults]
1.38607s  273.40us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c64050000  [Unified Memory GPU page faults]
1.38617s  118.72us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f3c6a70b000  [Unified Memory GPU page faults]
1.38629s  98.814us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c68301000  [Unified Memory GPU page faults]
1.38638s  98.557us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7f3c6a812000  [Unified Memory GPU page faults]
1.38641s  189.28us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c661f5000  [Unified Memory GPU page faults]
1.38648s  90.942us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f3c6a906000  [Unified Memory GPU page faults]
1.38656s  44.382us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f3c6a8bf000  [Unified Memory GPU page faults]
1.38660s  197.72us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c640cc000  [Unified Memory GPU page faults]
1.38669s  75.614us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c6aa00000  [Unified Memory GPU page faults]
1.38677s  188.54us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3c68400000  [Unified Memory GPU page faults]
1.38680s  32.831us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c64101000  [Unified Memory GPU page faults]
1.38684s  18.336us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f3c68e93000  [Unified Memory GPU page faults]
1.38686s  113.12us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f3c6630f000  [Unified Memory GPU page faults]
1.38696s  252.83us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c68411000  [Unified Memory GPU page faults]
1.38697s  165.28us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c64121000  [Unified Memory GPU page faults]
1.38714s  214.97us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c64000000  [Unified Memory GPU page faults]
1.38719s  198.72us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f3c6401d000  [Unified Memory GPU page faults]
1.38721s  177.02us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c68443000  [Unified Memory GPU page faults]
1.38723s  306.23us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f3c6847e000  [Unified Memory GPU page faults]
1.38747s  278.33us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c68482000  [Unified Memory GPU page faults]
1.38757s  77.598us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f3c68ea4000  [Unified Memory GPU page faults]
1.38765s  346.74us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c64141000  [Unified Memory GPU page faults]
1.38767s  354.87us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7f3c66497000  [Unified Memory GPU page faults]
1.38775s  240.99us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c68501000  [Unified Memory GPU page faults]
1.38799s  115.77us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f3c6ad0f000  [Unified Memory GPU page faults]
1.38802s  28.255us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c66454000  [Unified Memory GPU page faults]
1.38809s  182.33us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f3c66484000  [Unified Memory GPU page faults]
1.38814s  69.758us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3c6ae08000  [Unified Memory GPU page faults]
1.38821s  45.311us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3c6ae11000  [Unified Memory GPU page faults]
1.38825s  44.543us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3c6ae93000  [Unified Memory GPU page faults]
1.38827s  251.87us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c64201000  [Unified Memory GPU page faults]
1.38837s  138.24us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f3c6af0b000  [Unified Memory GPU page faults]
1.38851s  287.22us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c68601000  [Unified Memory GPU page faults]
1.38852s  115.04us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c6424a000  [Unified Memory GPU page faults]
1.38854s  136.19us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c6424d000  [Unified Memory GPU page faults]
1.38857s  250.78us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f3c68610000  [Unified Memory GPU page faults]
1.38867s  17.151us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c66661000  [Unified Memory GPU page faults]
1.38869s  93.278us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c6428b000  [Unified Memory GPU page faults]
1.38878s  100.45us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c66683000  [Unified Memory GPU page faults]
1.38889s  96.349us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3c66715000  [Unified Memory GPU page faults]
1.38898s  111.26us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c64300000  [Unified Memory GPU page faults]
1.38909s  65.566us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3c66819000  [Unified Memory GPU page faults]
1.38916s  65.278us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c66886000  [Unified Memory GPU page faults]
1.38922s  73.822us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3c668cf000  [Unified Memory GPU page faults]
1.38929s  27.520us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     6   0x7f3c66811000  [Unified Memory GPU page faults]
1.38945s  66.910us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f3c66a16000  [Unified Memory GPU page faults]
1.38951s  259.45us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f3c64409000  [Unified Memory GPU page faults]
1.38952s  476.44us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f3c64408000  [Unified Memory GPU page faults]
1.38999s  185.47us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3c64491000  [Unified Memory GPU page faults]
1.39003s  271.32us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f3c64489000  [Unified Memory GPU page faults]
1.39030s  136.35us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7f3c66c40000  [Unified Memory GPU page faults]
1.39044s  290.17us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c64503000  [Unified Memory GPU page faults]
1.39081s  93.917us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3c66e2e000  [Unified Memory GPU page faults]
1.39091s  49.791us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3c66e01000  [Unified Memory GPU page faults]
1.39096s  54.238us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f3c66ead000  [Unified Memory GPU page faults]
1.39098s  56.574us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3c66e80000  [Unified Memory GPU page faults]
1.39104s  200.09us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    13   0x7f3c66f07000  [Unified Memory GPU page faults]
1.39124s  1.3614ms                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f3c64600000  [Unified Memory GPU page faults]
1.39127s  1.3450ms                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f3c6460e000  [Unified Memory GPU page faults]
