==59457== NVPROF is profiling process 59457, command: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter16257372551562585519.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T12-00-49_896-jvmRun1 sure
==59457== Profiling application: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter16257372551562585519.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T12-00-49_896-jvmRun1 sure
==59457== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
5.60274s  2.7258ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        46                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1328]
5.61292s  2.7249ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        47                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1340]
5.61730s  2.6648ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         3        48                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1352]
5.62107s  2.7230ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         4        49                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1364]
5.62656s         -                    -               -         -         -         -                -         -         -         PC 0x8e7951c0   0x7f617c000000  [Unified Memory CPU page faults]
5.62679s         -                    -               -         -         -         -                -         -         -         PC 0x8e7951c0   0x7f6170000000  [Unified Memory CPU page faults]
5.62693s         -                    -               -         -         -         -                -         -         -         PC 0x8e7951c0   0x7f616c000000  [Unified Memory CPU page faults]
5.62742s         -                    -               -         -         -         -                -         -         -         PC 0x8e7951c0   0x7f6168000000  [Unified Memory CPU page faults]
5.76978s         -                    -               -         -         -         -                -         -         -         PC 0x6b557842   0x7f617c010000  [Unified Memory CPU page faults]
5.76993s         -                    -               -         -         -         -                -         -         -         PC 0x6b557842   0x7f6170010000  [Unified Memory CPU page faults]
