==9951== NVPROF is profiling process 9951, command: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter11632110736991516800.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-09-56_667-jvmRun1 sure
==9951== Profiling application: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter11632110736991516800.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-09-56_667-jvmRun1 sure
==9951== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.26142s  2.4216ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        46                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1328]
1.26743s  2.4156ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        47                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1340]
1.27095s  2.4271ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         3        48                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1352]
1.27354s  2.4157ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         4        49                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1364]
1.27835s         -                    -               -         -         -         -                -         -         -         PC 0x193f11c0   0x7f792a000000  [Unified Memory CPU page faults]
1.27854s         -                    -               -         -         -         -                -         -         -         PC 0x193f11c0   0x7f792a040000  [Unified Memory CPU page faults]
1.27865s         -                    -               -         -         -         -                -         -         -         PC 0x193f11c0   0x7f792a080000  [Unified Memory CPU page faults]
1.27877s         -                    -               -         -         -         -                -         -         -         PC 0x193f11c0   0x7f792a0c0000  [Unified Memory CPU page faults]
1.46595s         -                    -               -         -         -         -                -         -         -           PC 0x66d55f   0x7f792a010000  [Unified Memory CPU page faults]
1.46608s         -                    -               -         -         -         -                -         -         -           PC 0x66d55f   0x7f792a050000  [Unified Memory CPU page faults]
1.46616s         -                    -               -         -         -         -                -         -         -           PC 0x66d55f   0x7f792a090000  [Unified Memory CPU page faults]
1.46671s         -                    -               -         -         -         -                -         -         -           PC 0x66d55f   0x7f792a0d0000  [Unified Memory CPU page faults]
1.54571s         -                    -               -         -         -         -                -         -         -           PC 0x66d55f   0x7f792a020000  [Unified Memory CPU page faults]
1.64042s  37.439us                    -               -         -         -         -  Tesla V100-SXM2         -         -          256.000000KB   0x7f792a000000  [Unified Memory Memcpy HtoD]
1.64081s  37.055us                    -               -         -         -         -  Tesla V100-SXM2         -         -          256.000000KB   0x7f792a040000  [Unified Memory Memcpy HtoD]
1.64104s  33.567us                    -               -         -         -         -  Tesla V100-SXM2         -         -          256.000000KB   0x7f792a080000  [Unified Memory Memcpy HtoD]
1.64150s  32.383us                    -               -         -         -         -  Tesla V100-SXM2         -         -          256.000000KB   0x7f792a0c0000  [Unified Memory Memcpy HtoD]
1.64218s  66.197ms           (3200 1 1)       (256 1 1)        31  2.0000KB        0B  Tesla V100-SXM2         1        46                     -                -  MonteCarloOneBlockPerOption(unsigned int*, unsigned int*, int*, int*, float*, double*, float*, float*, float*, float*, float*, float*, int, int) [1374]
