Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
streamed,strong,1,262144,262144,5.60675,292.732
streamed,strong,1,262144,262144,5.15156,259.278
streamed,strong,1,262144,262144,5.21983,259.103
streamed,strong,1,262144,262144,5.1858,258.581
streamed,strong,1,262144,262144,25.8331,259.46
streamed,strong,1,262144,262144,26.8112,259.617
threaded,strong,1,262144,262144,118.439,258.537
threaded,strong,1,262144,262144,121.042,258.462
threaded,strong,1,262144,262144,119.633,258.492
threaded,strong,1,262144,262144,117.115,260.31
threaded,strong,1,262144,262144,203.808,259.799
threaded,strong,1,262144,262144,203.765,259.691
streamed,weak,1,262144,262144,5.21103,260.382
streamed,weak,1,262144,262144,5.12987,259.866
streamed,weak,1,262144,262144,5.25911,259.881
streamed,weak,1,262144,262144,5.08297,259.88
streamed,weak,1,262144,262144,25.9661,260.39
streamed,weak,1,262144,262144,26.9805,259.966
threaded,weak,1,262144,262144,119.002,259.73
threaded,weak,1,262144,262144,119.135,259.757
threaded,weak,1,262144,262144,118.536,260.253
threaded,weak,1,262144,262144,117.596,260.123
threaded,weak,1,262144,262144,193.393,259.951
threaded,weak,1,262144,262144,207.133,259.91
streamed,strong,1,1048576,262144,5.19719,1041.4
streamed,strong,1,1048576,262144,5.27373,1043.46
streamed,strong,1,1048576,262144,5.16369,1043.54
streamed,strong,1,1048576,262144,5.20051,1044.75
streamed,strong,1,1048576,262144,26.9531,1045.02
streamed,strong,1,1048576,262144,26.7807,1046.74
threaded,strong,1,1048576,262144,122.872,1065.84
threaded,strong,1,1048576,262144,117.996,1044.14
threaded,strong,1,1048576,262144,118.095,1047.69
threaded,strong,1,1048576,262144,116.945,1045.34
threaded,strong,1,1048576,262144,196.936,1045.45
threaded,strong,1,1048576,262144,206.44,1049.77
streamed,weak,1,1048576,262144,5.34641,1046.43
streamed,weak,1,1048576,262144,5.2466,1049.28
streamed,weak,1,1048576,262144,5.0551,1053.35
streamed,weak,1,1048576,262144,5.36827,1053.82
streamed,weak,1,1048576,262144,27.0709,1053.22
streamed,weak,1,1048576,262144,26.7938,1055.4
threaded,weak,1,1048576,262144,119.478,1053.73
threaded,weak,1,1048576,262144,118.741,1053.14
threaded,weak,1,1048576,262144,117.059,1053.11
threaded,weak,1,1048576,262144,118.445,1055.1
threaded,weak,1,1048576,262144,206.108,1054.44
threaded,weak,1,1048576,262144,206.577,1054.64
streamed,strong,1,16777216,262144,5.5983,17040.2
streamed,strong,1,16777216,262144,5.29928,17133.5
streamed,strong,1,16777216,262144,5.3769,17125
streamed,strong,1,16777216,262144,5.55118,17158.8
streamed,strong,1,16777216,262144,25.8733,17147.2
streamed,strong,1,16777216,262144,26.7999,17174.4
threaded,strong,1,16777216,262144,124.815,17167.4
threaded,strong,1,16777216,262144,116.186,17149.9
threaded,strong,1,16777216,262144,117.547,17149
threaded,strong,1,16777216,262144,117.402,17155.6
threaded,strong,1,16777216,262144,193.58,17187.4
threaded,strong,1,16777216,262144,227.427,17168
streamed,weak,1,16777216,262144,5.66204,17136.9
streamed,weak,1,16777216,262144,5.31413,17150.7
streamed,weak,1,16777216,262144,5.35913,17151.5
streamed,weak,1,16777216,262144,5.73064,17167.6
streamed,weak,1,16777216,262144,25.8782,17159.9
streamed,weak,1,16777216,262144,26.7423,17178
threaded,weak,1,16777216,262144,122.13,17144.1
threaded,weak,1,16777216,262144,116.846,17157
threaded,weak,1,16777216,262144,116.918,17151.9
threaded,weak,1,16777216,262144,118.402,17175.9
threaded,weak,1,16777216,262144,192.501,17159.3
threaded,weak,1,16777216,262144,202.752,17167.2
streamed,strong,1,67108864,262144,5.6356,68575
streamed,strong,1,67108864,262144,5.44056,68589
streamed,strong,1,67108864,262144,5.67251,68587.1
streamed,strong,1,67108864,262144,5.54249,68594.4
streamed,strong,1,67108864,262144,26.345,68630.7
streamed,strong,1,67108864,262144,26.9826,68714.9
threaded,strong,1,67108864,262144,121.245,68579.4
threaded,strong,1,67108864,262144,120.488,68585
threaded,strong,1,67108864,262144,123.038,68599.4
threaded,strong,1,67108864,262144,122.402,68585
threaded,strong,1,67108864,262144,207.407,68654.5
threaded,strong,1,67108864,262144,231.118,68732.7
streamed,weak,1,67108864,262144,5.5224,68538.6
streamed,weak,1,67108864,262144,5.6661,68578.4
streamed,weak,1,67108864,262144,5.57154,68577.5
streamed,weak,1,67108864,262144,5.41286,68587.3
streamed,weak,1,67108864,262144,25.7167,68617.3
