==48400== NVPROF is profiling process 48400, command: ./MonteCarlo --scaling=strong --method=threaded
==48400== Profiling application: ./MonteCarlo --scaling=strong --method=threaded
==48400== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
6.54645s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3600800000  [Unified Memory CPU page faults]
6.54648s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3620a00000  [Unified Memory CPU page faults]
6.54830s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3620c00000  [Unified Memory CPU page faults]
6.54879s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3600a00000  [Unified Memory CPU page faults]
6.55052s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3600c00000  [Unified Memory CPU page faults]
6.55056s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3620e00000  [Unified Memory CPU page faults]
6.55232s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3600e00000  [Unified Memory CPU page faults]
6.55239s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3621000000  [Unified Memory CPU page faults]
6.55414s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3601000000  [Unified Memory CPU page faults]
6.55419s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3621200000  [Unified Memory CPU page faults]
6.55586s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3601200000  [Unified Memory CPU page faults]
6.55604s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3621400000  [Unified Memory CPU page faults]
6.55783s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3601400000  [Unified Memory CPU page faults]
6.55784s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3621600000  [Unified Memory CPU page faults]
6.55961s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3601600000  [Unified Memory CPU page faults]
6.55964s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3621800000  [Unified Memory CPU page faults]
6.56138s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3621a00000  [Unified Memory CPU page faults]
