Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
threaded,strong,2,262144,262144,189.683,141.033
threaded,strong,2,262144,262144,187.471,140.633
threaded,strong,2,262144,262144,196.345,140.949
threaded,strong,2,262144,262144,186.681,140.615
streamed,strong,2,262144,262144,8.00257,144.686
streamed,strong,2,262144,262144,7.9865,144.061
streamed,strong,2,262144,262144,7.93595,143.902
streamed,strong,2,262144,262144,8.03086,144.408
streamed,strong,2,262144,262144,8.05133,145.368
streamed,strong,2,262144,262144,7.54806,144.179
threaded,weak,2,2097152,262144,190.444,1108.43
threaded,weak,2,2097152,262144,188.83,1109.33
threaded,weak,2,2097152,262144,224.473,1108.11
threaded,weak,2,2097152,262144,213.691,1110.87
threaded,weak,2,2097152,262144,201.204,1109.03
threaded,weak,2,2097152,262144,197.399,1111.55
streamed,weak,2,2097152,262144,9.6774,1148.44
streamed,weak,2,2097152,262144,9.64292,1149.68
streamed,weak,2,2097152,262144,9.51436,1145.35
streamed,weak,2,2097152,262144,9.56196,1145.09
streamed,weak,2,2097152,262144,7.75781,1146.97
streamed,weak,2,2097152,262144,9.2294,1148.06
threaded,strong,2,1048576,262144,199.871,554.727
threaded,strong,2,1048576,262144,200.093,554.159
threaded,strong,2,1048576,262144,201.962,560.149
threaded,strong,2,1048576,262144,201.791,556.786
threaded,strong,2,1048576,262144,202.545,555.983
threaded,strong,2,1048576,262144,224.822,556.196
streamed,strong,2,1048576,262144,7.73239,570.954
streamed,strong,2,1048576,262144,7.80708,572.682
streamed,strong,2,1048576,262144,7.913,573.91
streamed,strong,2,1048576,262144,8.00011,574.094
streamed,strong,2,1048576,262144,7.7375,573.137
streamed,strong,2,1048576,262144,8.06446,570.989
threaded,weak,2,33554432,262144,202.801,17876
threaded,weak,2,33554432,262144,187.256,17880.2
threaded,weak,2,33554432,262144,216.436,17946.6
threaded,weak,2,33554432,262144,201.624,18026
threaded,weak,2,33554432,262144,227.968,17944.8
threaded,weak,2,33554432,262144,189.039,17669.5
streamed,weak,2,33554432,262144,8.16644,18324.9
streamed,weak,2,33554432,262144,8.09656,18328.4
streamed,weak,2,33554432,262144,8.05796,18320.5
streamed,weak,2,33554432,262144,7.61455,18347
streamed,weak,2,33554432,262144,8.20023,18258.8
streamed,weak,2,33554432,262144,8.06226,18312.6
threaded,strong,2,16777216,262144,208.416,8889.78
threaded,strong,2,16777216,262144,186.169,8878.79
threaded,strong,2,16777216,262144,196.564,8866.23
threaded,strong,2,16777216,262144,185.309,8866.45
threaded,strong,2,16777216,262144,211.615,8863.87
threaded,strong,2,16777216,262144,188.123,8927.64
streamed,strong,2,16777216,262144,9.76862,9193.21
streamed,strong,2,16777216,262144,9.90382,9149.28
streamed,strong,2,16777216,262144,8.62251,9140.44
streamed,strong,2,16777216,262144,7.36914,9129.77
streamed,strong,2,16777216,262144,7.87547,9156.4
streamed,strong,2,16777216,262144,7.97448,9124.52
threaded,weak,2,134217728,262144,249.548,70969.6
threaded,weak,2,134217728,262144,194.002,70862.4
threaded,weak,2,134217728,262144,196.186,70977.3
threaded,weak,2,134217728,262144,219.105,70964
threaded,weak,2,134217728,262144,220.569,71021.1
threaded,weak,2,134217728,262144,191.746,70951.8
streamed,weak,2,134217728,262144,8.33302,72921.6
streamed,weak,2,134217728,262144,8.34051,72945.6
streamed,weak,2,134217728,262144,8.08712,75711.6
streamed,weak,2,134217728,262144,8.22147,72912.2
streamed,weak,2,134217728,262144,8.18583,72968.8
streamed,weak,2,134217728,262144,7.90672,73009.7
threaded,strong,2,67108864,262144,193.44,35570.5
threaded,strong,2,67108864,262144,196.192,35351.7
threaded,strong,2,67108864,262144,205.766,35593.4
threaded,strong,2,67108864,262144,202.389,35417
threaded,strong,2,67108864,262144,190.894,35283.2
threaded,strong,2,67108864,262144,201.002,35616.4
streamed,strong,2,67108864,262144,7.95452,36526.1
streamed,strong,2,67108864,262144,7.81682,36352.9
streamed,strong,2,67108864,262144,8.25884,36557.9
streamed,strong,2,67108864,262144,8.01288,36378.5
streamed,strong,2,67108864,262144,8.20461,36602.8
streamed,strong,2,67108864,262144,10.0687,36392.2
threaded,weak,4,1048576,262144,577.176,308.485
threaded,weak,4,1048576,262144,574.531,295.747
threaded,weak,4,1048576,262144,572.674,279.792
threaded,weak,4,1048576,262144,568.006,280.262
threaded,weak,4,1048576,262144,567.046,281.826
threaded,weak,4,1048576,262144,557.361,315.443
streamed,weak,4,1048576,262144,10.3497,319.529
streamed,weak,4,1048576,262144,10.821,317.366
streamed,weak,4,1048576,262144,10.4655,321.323
streamed,weak,4,1048576,262144,10.8744,315.88
streamed,weak,4,1048576,262144,10.4083,316.017
streamed,weak,4,1048576,262144,10.2801,313.443
threaded,strong,4,262144,262144,580.667,73.9887
threaded,strong,4,262144,262144,594.81,108.755
threaded,strong,4,262144,262144,599.685,126.388
threaded,strong,4,262144,262144,563.205,95.4207
threaded,strong,4,262144,262144,536.475,116.529
threaded,strong,4,262144,262144,542.633,104.258
streamed,strong,4,262144,262144,10.0754,86.0407
streamed,strong,4,262144,262144,10.3116,88.4453
streamed,strong,4,262144,262144,11.2819,82.319
streamed,strong,4,262144,262144,10.2571,80.028
streamed,strong,4,262144,262144,9.93504,80.7041
streamed,strong,4,262144,262144,10.4503,89.1597
threaded,weak,4,4194304,262144,568.291,1144.51
threaded,weak,4,4194304,262144,601.366,1151.98
threaded,weak,4,4194304,262144,573.707,1120.02
threaded,weak,4,4194304,262144,619.766,1157.38
threaded,weak,4,4194304,262144,636.239,1130.58
threaded,weak,4,4194304,262144,568.565,1158.63
streamed,weak,4,4194304,262144,14.943,1255.21
streamed,weak,4,4194304,262144,10.271,1254.45
streamed,weak,4,4194304,262144,10.2736,1255.16
streamed,weak,4,4194304,262144,10.3551,1266.25
streamed,weak,4,4194304,262144,10.4415,1257.17
streamed,weak,4,4194304,262144,10.413,1258.7
threaded,strong,4,1048576,262144,647.91,346.222
threaded,strong,4,1048576,262144,579.902,314.892
threaded,strong,4,1048576,262144,581.282,295.104
threaded,strong,4,1048576,262144,582.339,317.376
threaded,strong,4,1048576,262144,578.171,309.359
threaded,strong,4,1048576,262144,616.002,335.265
streamed,strong,4,1048576,262144,10.3033,323.873
streamed,strong,4,1048576,262144,10.7029,316.308
streamed,strong,4,1048576,262144,10.4166,326.339
streamed,strong,4,1048576,262144,10.5542,314.951
streamed,strong,4,1048576,262144,10.5063,318.764
streamed,strong,4,1048576,262144,10.4375,317.939
threaded,weak,4,67108864,262144,633.907,18429.6
threaded,weak,4,67108864,262144,591.674,18260.9
threaded,weak,4,67108864,262144,581.889,18234.3
threaded,weak,4,67108864,262144,576.655,18176.3
threaded,weak,4,67108864,262144,588.105,18182.2
threaded,weak,4,67108864,262144,603.554,18155.5
streamed,weak,4,67108864,262144,10.6909,20239.1
streamed,weak,4,67108864,262144,10.5306,20203.8
streamed,weak,4,67108864,262144,10.5096,20228.2
streamed,weak,4,67108864,262144,10.2872,20242.3
streamed,weak,4,67108864,262144,11.2331,20229.7
streamed,weak,4,67108864,262144,10.2864,20213.1
threaded,strong,4,16777216,262144,601.834,4518.75
threaded,strong,4,16777216,262144,665.932,4517.22
threaded,strong,4,16777216,262144,556.681,4547.81
threaded,strong,4,16777216,262144,557.363,4602.85
threaded,strong,4,16777216,262144,587.543,4556.59
threaded,strong,4,16777216,262144,533.141,4566.94
streamed,strong,4,16777216,262144,10.4608,5070.86
streamed,strong,4,16777216,262144,10.1521,5044.63
streamed,strong,4,16777216,262144,10.9077,5039.85
streamed,strong,4,16777216,262144,11.8275,5057.13
streamed,strong,4,16777216,262144,10.2862,5051.3
streamed,strong,4,16777216,262144,11.7163,5068.9
threaded,weak,4,268435456,262144,608.394,72646.9
threaded,weak,4,268435456,262144,656.814,72325.3
threaded,weak,4,268435456,262144,552.107,72519.6
threaded,weak,4,268435456,262144,587.789,72521.8
threaded,weak,4,268435456,262144,600.895,72477.5
threaded,weak,4,268435456,262144,583.149,72459.3
streamed,weak,4,268435456,262144,10.5006,80799
streamed,weak,4,268435456,262144,12.4328,80883.9
streamed,weak,4,268435456,262144,12.0902,80791.8
streamed,weak,4,268435456,262144,12.2986,80765.3
streamed,weak,4,268435456,262144,10.1177,80800.9
streamed,weak,4,268435456,262144,12.0729,80873.7
threaded,strong,4,67108864,262144,555.753,18163.8
threaded,strong,4,67108864,262144,588.854,18231.7
threaded,strong,4,67108864,262144,603.572,18209.2
threaded,strong,4,67108864,262144,558.769,18190.8
threaded,strong,4,67108864,262144,622.455,18140.6
threaded,strong,4,67108864,262144,593.12,18229.7
streamed,strong,4,67108864,262144,10.46,20068.7
streamed,strong,4,67108864,262144,10.1631,20206.8
streamed,strong,4,67108864,262144,11.0451,20245.6
streamed,strong,4,67108864,262144,10.7934,20263.7
streamed,strong,4,67108864,262144,10.6181,20219.2
streamed,strong,4,67108864,262144,10.3043,20256
