Version,Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
UMv1,threaded,strong,2,1048576,262144,194.561,557.208
UMv1,streamed,strong,2,1048576,262144,4.27375,571.909
UMv1,streamed,strong,2,1048576,262144,4.34786,574.81
UMv1,streamed,strong,2,1048576,262144,4.31506,573.332
UMv1,streamed,strong,2,1048576,262144,4.32116,571.627
UMv1,streamed,strong,2,1048576,262144,4.32452,573.066
UMv1,threaded,weak,2,33554432,262144,184.518,17573.4
UMv1,threaded,weak,2,33554432,262144,205.32,17750.8
UMv1,threaded,weak,2,33554432,262144,182.258,17836.5
UMv1,threaded,weak,2,33554432,262144,187.62,17824.8
UMv1,threaded,weak,2,33554432,262144,194.032,17775
UMv1,streamed,weak,2,33554432,262144,4.43225,17993.8
UMv1,streamed,weak,2,33554432,262144,4.76727,18149.7
UMv1,streamed,weak,2,33554432,262144,4.39736,18104.4
UMv1,streamed,weak,2,33554432,262144,4.8061,18172.8
UMv1,streamed,weak,2,33554432,262144,4.44374,18202.7
UMv1,threaded,strong,2,16777216,262144,199.266,8786.32
UMv1,threaded,strong,2,16777216,262144,182.649,8827.87
UMv1,threaded,strong,2,16777216,262144,188.35,8833.54
UMv1,threaded,strong,2,16777216,262144,180.007,8864.42
UMv1,threaded,strong,2,16777216,262144,184.811,8906.43
UMv1,streamed,strong,2,16777216,262144,4.3558,9098.94
UMv1,streamed,strong,2,16777216,262144,4.74081,9102.26
UMv1,streamed,strong,2,16777216,262144,4.38447,9123.66
UMv1,streamed,strong,2,16777216,262144,4.37229,9119.99
UMv1,streamed,strong,2,16777216,262144,4.68941,9091.46
UMv1,threaded,weak,2,134217728,262144,212.303,70711.8
UMv1,threaded,weak,2,134217728,262144,573.317,70634.9
UMv1,threaded,weak,2,134217728,262144,196.653,70700.3
UMv1,threaded,weak,2,134217728,262144,191.157,70678.6
UMv1,threaded,weak,2,134217728,262144,195.399,70712.1
UMv1,streamed,weak,2,134217728,262144,4.77253,72430.7
UMv1,streamed,weak,2,134217728,262144,4.75156,72422.3
UMv1,streamed,weak,2,134217728,262144,4.80455,72611.5
UMv1,streamed,weak,2,134217728,262144,4.79403,72431.1
UMv1,streamed,weak,2,134217728,262144,5.08653,72462.7
UMv1,threaded,strong,2,67108864,262144,195.855,35204.2
UMv1,threaded,strong,2,67108864,262144,216.16,35505.8
UMv1,threaded,strong,2,67108864,262144,210.482,35725.2
UMv1,threaded,strong,2,67108864,262144,207.049,35481.1
UMv1,threaded,strong,2,67108864,262144,190.227,35261.2
UMv1,streamed,strong,2,67108864,262144,4.7313,36255.3
UMv1,streamed,strong,2,67108864,262144,4.7833,36330.8
UMv1,streamed,strong,2,67108864,262144,4.85196,36166.8
UMv1,streamed,strong,2,67108864,262144,4.74959,36354.4
UMv1,streamed,strong,2,67108864,262144,4.762,36278.1
UMv0,threaded,weak,1,262144,262144,120.823,268.263
UMv0,threaded,weak,1,262144,262144,121.438,268.263
UMv0,threaded,weak,1,262144,262144,120.085,268.171
UMv0,threaded,weak,1,262144,262144,119.737,268.344
UMv0,threaded,weak,1,262144,262144,119.316,268.032
UMv0,streamed,weak,1,262144,262144,7.00696,268.188
UMv0,streamed,weak,1,262144,262144,7.17149,268.198
UMv0,streamed,weak,1,262144,262144,6.96286,268.237
UMv0,streamed,weak,1,262144,262144,7.06853,268.249
UMv0,streamed,weak,1,262144,262144,7.18976,268.294
UMv0,threaded,strong,1,262144,262144,119.309,268.217
UMv0,threaded,strong,1,262144,262144,119.524,268.857
UMv0,threaded,strong,1,262144,262144,121.032,268.316
UMv0,threaded,strong,1,262144,262144,122.998,268.567
UMv0,threaded,strong,1,262144,262144,119.822,268.155
UMv0,streamed,strong,1,262144,262144,6.98512,268.173
UMv0,streamed,strong,1,262144,262144,6.92616,268.182
UMv0,streamed,strong,1,262144,262144,7.0845,268.537
UMv0,streamed,strong,1,262144,262144,7.46748,268.167
UMv0,streamed,strong,1,262144,262144,7.20582,268.15
UMv0,threaded,weak,1,1048576,262144,119.596,1079.48
UMv0,threaded,weak,1,1048576,262144,119.406,1076.35
UMv0,threaded,weak,1,1048576,262144,120.555,1076.87
UMv0,threaded,weak,1,1048576,262144,120.231,1076.42
UMv0,threaded,weak,1,1048576,262144,120.476,1076.23
UMv0,streamed,weak,1,1048576,262144,7.06824,1081.34
UMv0,streamed,weak,1,1048576,262144,7.31143,1078.07
UMv0,streamed,weak,1,1048576,262144,7.05858,1084.53
UMv0,streamed,weak,1,1048576,262144,6.96967,1082.36
UMv0,streamed,weak,1,1048576,262144,7.3584,1084.15
UMv0,threaded,strong,1,1048576,262144,119.913,1085.06
UMv0,threaded,strong,1,1048576,262144,120.556,1085.63
UMv0,threaded,strong,1,1048576,262144,121.177,1085.15
UMv0,threaded,strong,1,1048576,262144,119.731,1086.79
UMv0,threaded,strong,1,1048576,262144,121.126,1087.27
UMv0,streamed,strong,1,1048576,262144,7.09754,1088.12
UMv0,streamed,strong,1,1048576,262144,7.03917,1091.53
UMv0,streamed,strong,1,1048576,262144,6.9884,1098.45
UMv0,streamed,strong,1,1048576,262144,7.09143,1093.4
UMv0,streamed,strong,1,1048576,262144,7.28529,1094.7
UMv0,threaded,weak,1,16777216,262144,118.015,17766.8
UMv0,threaded,weak,1,16777216,262144,118.548,17769.7
UMv0,threaded,weak,1,16777216,262144,117.772,17803.5
UMv0,threaded,weak,1,16777216,262144,117.955,17826.3
UMv0,threaded,weak,1,16777216,262144,118.756,17820.4
UMv0,streamed,weak,1,16777216,262144,7.27272,17823.9
UMv0,streamed,weak,1,16777216,262144,7.1123,17850.6
UMv0,streamed,weak,1,16777216,262144,7.29555,17841.7
UMv0,streamed,weak,1,16777216,262144,7.27064,17839.2
UMv0,streamed,weak,1,16777216,262144,7.2498,17846.9
UMv0,threaded,strong,1,16777216,262144,119.557,17823.6
UMv0,threaded,strong,1,16777216,262144,119.254,17831.6
UMv0,threaded,strong,1,16777216,262144,119.337,17850.3
UMv0,threaded,strong,1,16777216,262144,118.253,17839.1
UMv0,threaded,strong,1,16777216,262144,119.281,17837.7
UMv0,streamed,strong,1,16777216,262144,7.17501,17838.8
UMv0,streamed,strong,1,16777216,262144,7.16602,17843.6
UMv0,streamed,strong,1,16777216,262144,7.33042,17847
UMv0,streamed,strong,1,16777216,262144,7.07629,17847.8
UMv0,streamed,strong,1,16777216,262144,7.03686,17824.2
UMv0,threaded,weak,1,67108864,262144,127.529,71342.1
UMv0,threaded,weak,1,67108864,262144,125.537,71364.2
UMv0,threaded,weak,1,67108864,262144,135.945,71610.7
UMv0,threaded,weak,1,67108864,262144,124.022,72093.5
UMv0,threaded,weak,1,67108864,262144,133.31,71393.1
UMv0,streamed,weak,1,67108864,262144,7.53666,72694.6
UMv0,streamed,weak,1,67108864,262144,7.42606,71388.2
UMv0,streamed,weak,1,67108864,262144,7.42541,71395.2
UMv0,streamed,weak,1,67108864,262144,7.50279,71359.7
UMv0,streamed,weak,1,67108864,262144,7.45481,71343.6
UMv0,threaded,strong,1,67108864,262144,122.465,71333.9
UMv0,threaded,strong,1,67108864,262144,122.915,71327.8
UMv0,threaded,strong,1,67108864,262144,122.991,71349.5
UMv0,threaded,strong,1,67108864,262144,123.198,71339.9
UMv0,threaded,strong,1,67108864,262144,122.823,71344.7
UMv0,streamed,strong,1,67108864,262144,7.43694,71338
UMv0,streamed,strong,1,67108864,262144,7.04683,71350.7
UMv0,streamed,strong,1,67108864,262144,7.24213,71412.6
UMv0,streamed,strong,1,67108864,262144,7.2951,71456.1
UMv0,streamed,strong,1,67108864,262144,7.46233,71350.2
UMv0,threaded,weak,2,524288,262144,193.21,277.126
UMv0,threaded,weak,2,524288,262144,186.956,277.466
UMv0,threaded,weak,2,524288,262144,192.172,276.892
UMv0,threaded,weak,2,524288,262144,189.871,280.593
UMv0,threaded,weak,2,524288,262144,205.523,278.922
UMv0,streamed,weak,2,524288,262144,7.9899,285.978
UMv0,streamed,weak,2,524288,262144,8.05436,288.818
UMv0,streamed,weak,2,524288,262144,9.77418,286.153
UMv0,streamed,weak,2,524288,262144,9.80583,286.748
UMv0,streamed,weak,2,524288,262144,9.56499,307.902
UMv0,threaded,strong,2,262144,262144,189.01,141.534
UMv0,threaded,strong,2,262144,262144,189.683,141.033
UMv0,threaded,strong,2,262144,262144,187.471,140.633
UMv0,threaded,strong,2,262144,262144,196.345,140.949
UMv0,threaded,strong,2,262144,262144,186.681,140.615
UMv0,streamed,strong,2,262144,262144,7.9865,144.061
UMv0,streamed,strong,2,262144,262144,7.93595,143.902
UMv0,streamed,strong,2,262144,262144,8.03086,144.408
UMv0,streamed,strong,2,262144,262144,8.05133,145.368
UMv0,streamed,strong,2,262144,262144,7.54806,144.179
UMv0,threaded,weak,2,2097152,262144,188.83,1109.33
UMv0,threaded,weak,2,2097152,262144,224.473,1108.11
UMv0,threaded,weak,2,2097152,262144,213.691,1110.87
UMv0,threaded,weak,2,2097152,262144,201.204,1109.03
UMv0,threaded,weak,2,2097152,262144,197.399,1111.55
UMv0,streamed,weak,2,2097152,262144,9.64292,1149.68
UMv0,streamed,weak,2,2097152,262144,9.51436,1145.35
UMv0,streamed,weak,2,2097152,262144,9.56196,1145.09
UMv0,streamed,weak,2,2097152,262144,7.75781,1146.97
UMv0,streamed,weak,2,2097152,262144,9.2294,1148.06
UMv0,threaded,strong,2,1048576,262144,200.093,554.159
UMv0,threaded,strong,2,1048576,262144,201.962,560.149
UMv0,threaded,strong,2,1048576,262144,201.791,556.786
UMv0,threaded,strong,2,1048576,262144,202.545,555.983
UMv0,threaded,strong,2,1048576,262144,224.822,556.196
UMv0,streamed,strong,2,1048576,262144,7.80708,572.682
UMv0,streamed,strong,2,1048576,262144,7.913,573.91
UMv0,streamed,strong,2,1048576,262144,8.00011,574.094
UMv0,streamed,strong,2,1048576,262144,7.7375,573.137
UMv0,streamed,strong,2,1048576,262144,8.06446,570.989
UMv0,threaded,weak,2,33554432,262144,187.256,17880.2
UMv0,threaded,weak,2,33554432,262144,216.436,17946.6
UMv0,threaded,weak,2,33554432,262144,201.624,18026
UMv0,threaded,weak,2,33554432,262144,227.968,17944.8
UMv0,threaded,weak,2,33554432,262144,189.039,17669.5
UMv0,streamed,weak,2,33554432,262144,8.09656,18328.4
UMv0,streamed,weak,2,33554432,262144,8.05796,18320.5
UMv0,streamed,weak,2,33554432,262144,7.61455,18347
UMv0,streamed,weak,2,33554432,262144,8.20023,18258.8
UMv0,streamed,weak,2,33554432,262144,8.06226,18312.6
UMv0,threaded,strong,2,16777216,262144,186.169,8878.79
UMv0,threaded,strong,2,16777216,262144,196.564,8866.23
UMv0,threaded,strong,2,16777216,262144,185.309,8866.45
UMv0,threaded,strong,2,16777216,262144,211.615,8863.87
UMv0,threaded,strong,2,16777216,262144,188.123,8927.64
UMv0,streamed,strong,2,16777216,262144,9.90382,9149.28
UMv0,streamed,strong,2,16777216,262144,8.62251,9140.44
UMv0,streamed,strong,2,16777216,262144,7.36914,9129.77
UMv0,streamed,strong,2,16777216,262144,7.87547,9156.4
UMv0,streamed,strong,2,16777216,262144,7.97448,9124.52
UMv0,threaded,weak,2,134217728,262144,194.002,70862.4
UMv0,threaded,weak,2,134217728,262144,196.186,70977.3
UMv0,threaded,weak,2,134217728,262144,219.105,70964
UMv0,threaded,weak,2,134217728,262144,220.569,71021.1
UMv0,threaded,weak,2,134217728,262144,191.746,70951.8
UMv0,streamed,weak,2,134217728,262144,8.34051,72945.6
UMv0,streamed,weak,2,134217728,262144,8.08712,75711.6
UMv0,streamed,weak,2,134217728,262144,8.22147,72912.2
UMv0,streamed,weak,2,134217728,262144,8.18583,72968.8
UMv0,streamed,weak,2,134217728,262144,7.90672,73009.7
UMv0,threaded,strong,2,67108864,262144,196.192,35351.7
UMv0,threaded,strong,2,67108864,262144,205.766,35593.4
UMv0,threaded,strong,2,67108864,262144,202.389,35417
UMv0,threaded,strong,2,67108864,262144,190.894,35283.2
UMv0,threaded,strong,2,67108864,262144,201.002,35616.4
UMv0,streamed,strong,2,67108864,262144,7.81682,36352.9
UMv0,streamed,strong,2,67108864,262144,8.25884,36557.9
UMv0,streamed,strong,2,67108864,262144,8.01288,36378.5
UMv0,streamed,strong,2,67108864,262144,8.20461,36602.8
UMv0,streamed,strong,2,67108864,262144,10.0687,36392.2
